cell_id	fallback
8450	0.5363636612892151
8452	1.0
8453	0.4324324429035187
8454	1.0
8455	0.9750000238418579
8456	0.673758864402771
8457	0.014925372786819935
8461	0.020408162847161293
8462	0.35323384404182434
8470	0.14767932891845703
8471	1.0
8472	0.1150442510843277
8473	0.3360655605792999
8474	0.3162393271923065
8475	0.06666667014360428
8484	0.9318181872367859
8485	0.761904776096344
8488	0.5470852255821228
8489	1.0
8490	1.0
8491	0.8892857432365417
8492	1.0
8493	0.8504672646522522
8495	0.22727273404598236
8496	0.2442748099565506
8498	0.011428571306169033
8500	0.04095563292503357
8501	0.39523810148239136
8502	0.38655462861061096
8503	0.02734375
8504	0.029279278591275215
8505	0.4262295067310333
8506	0.5531914830207825
8511	1.0
8515	0.9191176295280457
8517	0.4536082446575165
8518	0.21875
8519	0.14012739062309265
8521	0.8591549396514893
8522	0.24778760969638824
8523	0.9642857313156128
8524	0.3650793731212616
8525	0.7663934230804443
8526	0.8690476417541504
8528	0.1428571492433548
8529	0.017045455053448677
8530	0.16352201998233795
8534	1.0
8535	0.31343284249305725
8539	0.0902777761220932
8540	0.08494208753108978
8541	1.0
8542	0.966292142868042
8544	0.03401360660791397
8545	1.0
8547	0.02631578966975212
8548	0.40909090638160706
8549	0.5561797618865967
8550	0.4833333194255829
8552	1.0
8554	0.08040200918912888
8556	1.0
8558	1.0
8559	0.02298850566148758
8561	1.0
8562	0.7749999761581421
8563	0.699999988079071
8564	0.011834319680929184
8567	0.988095223903656
8569	0.3199999928474426
8576	0.46268656849861145
8577	0.24778760969638824
8578	0.7966805100440979
8579	0.8374999761581421
8580	1.0
8582	1.0
8583	0.1428571492433548
8584	0.2612612545490265
8585	0.17910447716712952
8586	0.11737088859081268
8587	0.13725490868091583
8588	1.0
8655	1.0
8656	0.9529411792755127
8657	0.8390804529190063
8693	0.06896551698446274
8695	0.692307710647583
8697	0.977011501789093
8701	0.5555555820465088
8702	0.7323943376541138
8703	0.6833333373069763
9109	0.19543974101543427
9173	0.013888888992369175
9315	1.0
9326	0.9152542352676392
9341	0.521212100982666
9347	0.03703703731298447
9354	0.21875
47469	0.03999999910593033
47471	0.40909090638160706
47472	1.0
47475	1.0
47476	0.1621621549129486
47478	0.29032257199287415
47481	0.9719626307487488
47487	0.17985612154006958
47488	0.508474588394165
47489	0.054054055362939835
47490	0.7658536434173584
47493	0.041322313249111176
47494	0.5
47497	0.14792899787425995
47498	1.0
47499	1.0
47502	0.23756906390190125
47516	0.7052023410797119
47640	0.016806723549962044
47641	0.11538461595773697
47645	0.18987341225147247
47646	0.4166666567325592
47648	1.0
47652	1.0
47653	0.07692307978868484
47656	1.0
47659	0.4517543911933899
47661	0.07201646268367767
47664	0.19796954095363617
47665	0.3442623019218445
47666	0.01807228848338127
47669	1.0
47671	0.06400000303983688
47673	1.0
47676	0.125
47677	0.37931033968925476
47678	1.0
47679	0.9444444179534912
47681	0.1197916641831398
47686	1.0
47690	1.0
47691	0.9117646813392639
47697	1.0
47699	1.0
47700	0.042553190141916275
47706	0.5185185074806213
47710	0.4507042169570923
47712	0.014925372786819935
47713	0.9685039520263672
47714	0.32307693362236023
47715	0.8611111044883728
47716	1.0
47810	0.1587301641702652
48557	0.29394811391830444
48565	0.22310757637023926
48571	1.0
48727	1.0
48728	0.9680851101875305
48731	1.0
48732	0.772357702255249
48733	1.0
48735	1.0
48736	1.0
48737	1.0
48743	1.0
48745	1.0
48747	0.01923076994717121
48749	1.0
48750	0.06950672715902328
48752	1.0
48754	1.0
48758	0.9821428656578064
48781	0.34210526943206787
48785	1.0
48786	1.0
48787	1.0
48788	0.99303138256073
48789	1.0
48790	0.7114093899726868
50102	0.8562091588973999
50103	0.003968254197388887
50105	0.5777778029441833
50110	0.34161490201950073
50112	0.41206029057502747
50113	1.0
50114	1.0
50115	0.092261902987957
50116	1.0
50117	1.0
50129	0.008670520037412643
50130	0.6666666865348816
50131	0.44736841320991516
50132	0.341085284948349
51246	0.009216589853167534
51249	0.028169013559818268
51250	0.885496199131012
51251	0.6666666865348816
51252	0.2935323417186737
51253	1.0
51254	0.36421725153923035
51255	0.14666666090488434
51256	1.0
51257	0.9968944191932678
51258	1.0
51259	0.9775280952453613
51260	1.0
51261	0.11267605423927307
51262	1.0
51263	0.9443155527114868
51264	0.4392523467540741
51272	0.5494505763053894
51274	0.021897809579968452
51278	0.6629834175109863
51283	0.680911660194397
51284	0.26923078298568726
51289	0.02641509473323822
51290	0.002624671906232834
51291	0.002336448524147272
51292	0.5476718544960022
51293	1.0
51294	0.9640883803367615
51295	1.0
51296	0.8007518649101257
51297	1.0
51298	1.0
51299	1.0
51300	0.39429929852485657
51301	1.0
51302	0.8599033951759338
51303	1.0
51304	0.9090909361839294
