x_transformed,y_transformed,group
18000.04,13452.423,CD8+ αβ Memory T Cell
18011.893,13364.666,T Cell
17970.316,13371.452,B Cell
17990.438,13352.212,Effector CD4+ αβ T Cell
17995.857,13379.238,B Cell
18834.883,13307.82,Memory B Cell
18809.412,13327.908,CD4+ αβ Memory T Cell
18826.314,13325.919,Memory B Cell
18788.969,13329.048,Memory B Cell
18726.71,13328.661,Hematopoietic Stem Cell
18750.867,13330.087,Memory B Cell
18772.803,13338.0625,Memory B Cell
18796.084,13304.695,Memory B Cell
18738.047,13310.5205,Memory B Cell
18758.783,13306.282,Memory B Cell
18777.635,13306.496,Hematopoietic Stem Cell
18817.564,13273.326,Memory B Cell
18798.5,13274.262,Regulatory T Cell
18811.615,13292.881,Memory B Cell
18663.73,13214.166,Memory B Cell
18590.305,13247.464,Innate Lymphoid Cell
18644.73,13224.427,Memory B Cell
18504.844,13239.723,Innate Lymphoid Cell
18469.578,13268.562,Naive B Cell
18497.186,13268.667,Naive B Cell
18566.752,13271.464,Endothelial Cell
18519.256,13269.56,Naive Thymus Derived CD4+ αβ T Cell
18563.252,13249.901,Innate Lymphoid Cell
18771.898,13286.186,Memory B Cell
18690.715,13278.301,B Cell
18707.668,13285.502,Naive B Cell
18726.512,13289.601,Memory B Cell
18747.016,13289.194,Memory B Cell
18520.125,13307.678,Plasma Cell
18369.68,13303.9795,Memory B Cell
18438.643,13339.071,B Cell
18489.871,13314.415,Effector CD4+ αβ T Cell
18509.48,13289.853,Effector CD4+ αβ T Cell
18623.51,13299.923,CD8+ αβ Memory T Cell
18582.182,13281.046,B Cell
18582.81,13308.108,Endothelial Cell
18611.824,13280.486,T Cell
18713.402,13310.885,Regulatory T Cell
18657.293,13314.296,Endothelial Cell
18674.998,13307.482,Memory B Cell
18678.863,13331.43,Naive Thymus Derived CD4+ αβ T Cell
18693.553,13301.473,Memory B Cell
18694.484,13322.36,Naive B Cell
18815.209,13236.045,B Cell
18738.365,13243.367,Memory B Cell
18757.59,13245.031,Memory B Cell
18773.064,13234.322,Regulatory T Cell
18791.947,13247.616,Memory B Cell
18703.43,13231.712,Stromal Cell
18685.094,13221.446,Memory B Cell
18693.053,13249.06,B Cell
