x_transformed,y_transformed,group
17391.742,23078.688,Tumor Cells
17450.383,23109.26,Proliferative Tumor Cells
17396.752,23107.932,Proliferative Tumor Cells
17418.834,23153.32,Tumor Cells
17433.105,23136.93,Tumor Cells
17453.174,22964.102,Tumor Cells
17487.334,22959.389,Tumor Cells
17420.5,23035.56,Tumor Cells
17454.646,23014.61,Proliferative Tumor Cells
17490.62,23029.408,Tumor Cells
17118.582,23406.406,Macrophages
16924.154,23396.764,Tumor Cells
16906.324,23410.717,Tumor Cells
16880.754,23408.072,Tumor Cells
16891.803,23346.23,Tumor Cells
16871.38,23377.703,Tumor Cells
16899.16,23375.16,Proliferative Tumor Cells
16920.537,23366.2,Tumor Cells
16947.99,23367.33,Proliferative Tumor Cells
17044.158,23394.344,Tumor Cells
16989.734,23385.744,Tumor Cells
16998.893,23357.34,Tumor Cells
17023.627,23400.242,Proliferative Tumor Cells
16710.186,23357.291,Tumor Cells
16744.297,23411.516,Tumor Cells
15703.088,23456.299,T and NK Cells
15647.405,23479.58,T and NK Cells
15749.9375,23482.518,T and NK Cells
15680.507,23479.592,T and NK Cells
15724.058,23471.812,T and NK Cells
15665.824,23397.037,T and NK Cells
15633.126,23426.588,T and NK Cells
15647.593,23401.635,T and NK Cells
15660.548,23429.87,T and NK Cells
15681.731,23416.049,T and NK Cells
15285.3,23308.41,T and NK Cells
15592.044,23286.5,T and NK Cells
16910.646,23223.225,Tumor Cells
16820.799,23224.658,Tumor Cells
16841.64,23204.291,Macrophages
16861.75,23224.986,Proliferative Tumor Cells
16908.045,23185.004,Tumor Cells
16712.84,23211.64,Tumor Cells
16706.25,23168.547,Macrophages
16694.79,23146.355,Proliferative Tumor Cells
16800.506,23209.477,Proliferative Tumor Cells
16737.09,23185.227,Tumor Cells
16781.154,23192.256,Proliferative Tumor Cells
16846.857,23164.512,Tumor Cells
16828.959,23180.06,Tumor Cells
16876.82,23169.488,Tumor Cells
16961.445,23228.162,Tumor Cells
16878.79,23240.135,Tumor Cells
16917.027,23253.152,Tumor Cells
16944.879,23245.41,SOX2-OT+ Tumor Cells
16960.344,23265.207,Tumor Cells
16642.865,23231.914,Tumor Cells
16604.818,23248.6,Tumor Cells
16637.906,23261.621,Macrophages
16729.441,23293.498,Proliferative Tumor Cells
16651.11,23339.0,Macrophages
16749.883,23331.332,Tumor Cells
16689.457,23324.744,Macrophages
16698.492,23234.617,Tumor Cells
16659.867,23244.83,Tumor Cells
16676.154,23273.559,Proliferative Tumor Cells
16705.443,23264.186,Macrophages
16900.13,23282.072,Tumor Cells
16815.322,23309.062,Tumor Cells
16893.69,23316.191,Tumor Cells
16948.568,23292.756,Tumor Cells
16929.336,23290.188,Tumor Cells
16924.89,23313.322,Tumor Cells
17127.19,23289.885,Tumor Cells
17043.475,23285.73,Tumor Cells
17069.393,23280.602,Macrophages
17096.8,23285.021,Macrophages
17015.494,23338.176,Tumor Cells
16975.525,23283.895,Tumor Cells
16975.344,23332.102,Tumor Cells
16993.746,23308.406,Tumor Cells
17008.244,23298.795,Tumor Cells
17030.31,23238.438,Macrophages
16983.982,23254.31,Tumor Cells
17019.732,23260.783,Macrophages
17083.18,23314.719,Tumor Cells
17057.29,23333.107,Tumor Cells
17043.406,23309.646,Tumor Cells
17165.238,23166.674,Tumor Cells
17129.445,23191.781,Proliferative Tumor Cells
17145.838,23228.594,Proliferative Tumor Cells
17138.172,23161.35,Proliferative Tumor Cells
16958.492,23195.805,Tumor Cells
16928.44,23209.814,Tumor Cells
16935.295,23186.143,Tumor Cells
17014.424,23183.979,T and NK Cells
16990.496,23205.65,Macrophages
17001.033,23162.805,T and NK Cells
17483.734,23308.63,Tumor Cells
17382.05,23300.021,Tumor Cells
17417.201,23307.494,Proliferative Tumor Cells
17459.143,23335.002,Tumor Cells
17298.863,23362.32,Tumor Cells
17391.346,23357.62,Proliferative Tumor Cells
17173.035,23383.783,Tumor Cells
17047.057,23354.111,Tumor Cells
17067.258,23378.805,Tumor Cells
17142.53,23398.033,Macrophages
17167.043,23410.49,Tumor Cells
17198.418,23434.941,Tumor Cells
17051.24,23425.576,Tumor Cells
17085.71,23420.707,Proliferative Tumor Cells
17053.89,23450.547,Tumor Cells
17149.518,23443.24,Tumor Cells
17326.861,23431.494,Tumor Cells
17236.627,23438.746,Tumor Cells
17250.107,23423.385,Tumor Cells
17312.521,23451.164,Tumor Cells
17233.738,23403.543,Macrophages
17204.996,23410.053,Tumor Cells
17211.678,23375.307,Tumor Cells
17449.854,23409.258,Proliferative Tumor Cells
17359.928,23385.613,Proliferative Tumor Cells
17392.744,23389.656,Proliferative Tumor Cells
17412.316,23425.596,Tumor Cells
17327.055,23278.295,Tumor Cells
17302.852,23297.482,Tumor Cells
17315.002,23248.082,Tumor Cells
17254.486,23247.488,Tumor Cells
17175.492,23240.646,Proliferative Tumor Cells
17189.271,23285.293,Macrophages
17259.076,23279.982,Tumor Cells
17234.82,23272.85,Tumor Cells
